id,Exited
15167,[0.42008355]
15168,[0.01879418]
15169,[0.4121065]
15170,[0.33295116]
15171,[0.13809898]
15172,[0.40053552]
15173,[0.0295647]
15174,[0.18560994]
15175,[0.17546527]
15176,[0.14388219]
15177,[0.2348881]
15178,[0.01752334]
15179,[0.16741918]
15180,[0.02875827]
15181,[0.01796376]
15182,[0.1207528]
15183,[0.21329762]
15184,[0.0329861]
15185,[0.01737687]
15186,[0.18914142]
15187,[0.26339522]
15188,[0.02357577]
15189,[0.14216286]
15190,[0.02506998]
15191,[0.5449693]
15192,[0.02871725]
15193,[0.24321544]
15194,[0.37753212]
15195,[0.24995042]
15196,[0.12195878]
15197,[0.01851359]
15198,[0.6154039]
15199,[0.2686032]
15200,[0.59998584]
15201,[0.01905952]
15202,[0.61191165]
15203,[0.01806573]
15204,[0.20957664]
15205,[0.15746601]
15206,[0.13619755]
15207,[0.596435]
15208,[0.02468097]
15209,[0.6197226]
15210,[0.01757202]
15211,[0.14819543]
15212,[0.4610822]
15213,[0.01777435]
15214,[0.17361711]
15215,[0.01812814]
15216,[0.23092651]
15217,[0.02522271]
15218,[0.02678543]
15219,[0.18705402]
15220,[0.28636885]
15221,[0.15570225]
15222,[0.21663095]
15223,[0.41778126]
15224,[0.02027314]
15225,[0.02070809]
15226,[0.36352515]
15227,[0.0181797]
15228,[0.01907365]
15229,[0.01861765]
15230,[0.6037065]
15231,[0.01818111]
15232,[0.7351421]
15233,[0.5554683]
15234,[0.1726478]
15235,[0.01830188]
15236,[0.01806813]
15237,[0.02487265]
15238,[0.02896173]
15239,[0.16941723]
15240,[0.02850598]
15241,[0.02454814]
15242,[0.03700173]
15243,[0.44529298]
15244,[0.01764963]
15245,[0.6115221]
15246,[0.01936912]
15247,[0.17407362]
15248,[0.09446925]
15249,[0.12118645]
15250,[0.01751084]
15251,[0.02627713]
15252,[0.15239993]
15253,[0.6119844]
15254,[0.01809972]
15255,[0.16928184]
15256,[0.0178571]
15257,[0.02001138]
15258,[0.14680687]
15259,[0.5903097]
15260,[0.16481504]
15261,[0.13979098]
15262,[0.49945793]
15263,[0.01781907]
15264,[0.22831774]
15265,[0.13674857]
15266,[0.6221132]
15267,[0.6006125]
15268,[0.61495435]
15269,[0.866386]
15270,[0.01852717]
15271,[0.02551029]
15272,[0.01756822]
15273,[0.0185197]
15274,[0.27261814]
15275,[0.29992828]
15276,[0.17614527]
15277,[0.12693909]
15278,[0.49727392]
15279,[0.31892765]
15280,[0.6110352]
15281,[0.568192]
15282,[0.1198248]
15283,[0.01961663]
15284,[0.03621651]
15285,[0.03610977]
15286,[0.49779618]
15287,[0.01872228]
15288,[0.18103974]
15289,[0.02731351]
15290,[0.18857361]
15291,[0.03246348]
15292,[0.42649922]
15293,[0.3400549]
15294,[0.03010219]
15295,[0.01747755]
15296,[0.01748102]
15297,[0.20288469]
15298,[0.02026474]
15299,[0.01765275]
15300,[0.02015578]
15301,[0.0228573]
15302,[0.21950546]
15303,[0.02679976]
15304,[0.01922754]
15305,[0.14339179]
15306,[0.02699222]
15307,[0.6030004]
15308,[0.02935149]
15309,[0.01889836]
15310,[0.07057933]
15311,[0.0265382]
15312,[0.33930668]
15313,[0.13682458]
15314,[0.61092997]
15315,[0.49057633]
15316,[0.02475793]
15317,[0.02675775]
15318,[0.01885242]
15319,[0.02487204]
15320,[0.12315194]
15321,[0.16502146]
15322,[0.27645501]
15323,[0.3910145]
15324,[0.343658]
15325,[0.01930837]
15326,[0.03660122]
15327,[0.5132798]
15328,[0.55913794]
15329,[0.6380621]
15330,[0.01747392]
15331,[0.0186062]
15332,[0.03433939]
15333,[0.15054044]
15334,[0.02800759]
15335,[0.02518602]
15336,[0.02613285]
15337,[0.01739107]
15338,[0.20618327]
15339,[0.03279523]
15340,[0.45909423]
15341,[0.02378117]
15342,[0.6168681]
15343,[0.02560625]
15344,[0.03142633]
15345,[0.3773099]
15346,[0.01833138]
15347,[0.01796835]
15348,[0.01837506]
15349,[0.02582609]
15350,[0.03152192]
15351,[0.2432938]
15352,[0.0201606]
15353,[0.59307885]
15354,[0.020895]
15355,[0.2402209]
15356,[0.01797546]
15357,[0.27804604]
15358,[0.28763047]
15359,[0.0220612]
15360,[0.02500198]
15361,[0.32791948]
15362,[0.04441478]
15363,[0.01871035]
15364,[0.01893769]
15365,[0.163119]
15366,[0.1388089]
15367,[0.16307586]
15368,[0.01746514]
15369,[0.6110944]
15370,[0.13108826]
15371,[0.01785769]
15372,[0.24838984]
15373,[0.16219366]
15374,[0.01853607]
15375,[0.1379127]
15376,[0.13770987]
15377,[0.15109001]
15378,[0.02855293]
15379,[0.03049007]
15380,[0.02323635]
15381,[0.02320944]
15382,[0.4651887]
15383,[0.02680621]
15384,[0.01752049]
15385,[0.16625676]
15386,[0.62428284]
15387,[0.54281425]
15388,[0.02985082]
15389,[0.01813393]
15390,[0.02433207]
15391,[0.02420092]
15392,[0.6200621]
15393,[0.36686152]
15394,[0.13390659]
15395,[0.24687603]
15396,[0.0203736]
15397,[0.41088754]
15398,[0.09904215]
15399,[0.6125047]
15400,[0.79784906]
15401,[0.19604093]
15402,[0.02340201]
15403,[0.02237333]
15404,[0.02604342]
15405,[0.03649534]
15406,[0.3485601]
15407,[0.02859366]
15408,[0.02004061]
15409,[0.3340451]
15410,[0.35443938]
15411,[0.37952495]
15412,[0.42937127]
15413,[0.48203003]
15414,[0.01832177]
15415,[0.47510514]
15416,[0.48773265]
15417,[0.03120234]
15418,[0.0185111]
15419,[0.03786285]
15420,[0.29074433]
15421,[0.47689137]
15422,[0.15398614]
15423,[0.31809378]
15424,[0.6041695]
15425,[0.03284229]
15426,[0.6074337]
15427,[0.02649165]
15428,[0.02655555]
15429,[0.01924289]
15430,[0.01769413]
15431,[0.38133866]
15432,[0.02760262]
15433,[0.6100178]
15434,[0.5811463]
15435,[0.47497997]
15436,[0.01914465]
15437,[0.13245247]
15438,[0.4353389]
15439,[0.14798936]
15440,[0.02450175]
15441,[0.5936482]
15442,[0.03523841]
15443,[0.15742679]
15444,[0.153727]
15445,[0.01855704]
15446,[0.16428079]
15447,[0.02846561]
15448,[0.15437523]
15449,[0.0177409]
15450,[0.86605835]
15451,[0.33605093]
15452,[0.14412211]
15453,[0.03152723]
15454,[0.2903305]
15455,[0.48730597]
15456,[0.02927109]
15457,[0.13976157]
15458,[0.02542602]
15459,[0.01814046]
15460,[0.01848186]
15461,[0.54446614]
15462,[0.22877622]
15463,[0.01805299]
15464,[0.37702635]
15465,[0.43387303]
15466,[0.14764881]
15467,[0.01773622]
15468,[0.16203175]
15469,[0.01941618]
15470,[0.02353828]
15471,[0.01705087]
15472,[0.6055198]
15473,[0.44829395]
15474,[0.14177425]
15475,[0.32093707]
15476,[0.24393557]
15477,[0.5038917]
15478,[0.26676157]
15479,[0.515207]
15480,[0.01993982]
15481,[0.01751654]
15482,[0.0177608]
15483,[0.3091595]
15484,[0.27189398]
15485,[0.6104444]
15486,[0.0185653]
15487,[0.2629228]
15488,[0.30261478]
15489,[0.04402871]
15490,[0.15118474]
15491,[0.02710773]
15492,[0.02774816]
15493,[0.0574267]
15494,[0.23451103]
15495,[0.4160318]
15496,[0.01755461]
15497,[0.02437621]
15498,[0.02302717]
15499,[0.26652628]
15500,[0.01967167]
15501,[0.01833339]
15502,[0.02587982]
15503,[0.02751342]
15504,[0.02695321]
15505,[0.01838681]
15506,[0.31651446]
15507,[0.5856964]
15508,[0.03596425]
15509,[0.61114407]
15510,[0.16272402]
15511,[0.21609628]
15512,[0.01973838]
15513,[0.01820903]
15514,[0.60647994]
15515,[0.01792999]
15516,[0.02753789]
15517,[0.35419962]
15518,[0.0174325]
15519,[0.03249516]
15520,[0.29576764]
15521,[0.01798536]
15522,[0.5451917]
15523,[0.13203889]
15524,[0.03783948]
15525,[0.02333083]
15526,[0.07517767]
15527,[0.01754772]
15528,[0.02947004]
15529,[0.19269672]
15530,[0.01744932]
15531,[0.02721858]
15532,[0.01901938]
15533,[0.7765494]
15534,[0.3830441]
15535,[0.0211986]
15536,[0.39850694]
15537,[0.6031602]
15538,[0.16953182]
15539,[0.57217455]
15540,[0.01923962]
15541,[0.01896992]
15542,[0.13495372]
15543,[0.5998982]
15544,[0.01840246]
15545,[0.02347107]
15546,[0.17029914]
15547,[0.03042047]
15548,[0.02582373]
15549,[0.611198]
15550,[0.6115689]
15551,[0.01813612]
15552,[0.1971512]
15553,[0.0177119]
15554,[0.01910462]
15555,[0.03144016]
15556,[0.6050247]
15557,[0.5024673]
15558,[0.14440055]
15559,[0.01977739]
15560,[0.01851275]
15561,[0.01867496]
15562,[0.3376047]
15563,[0.03150828]
15564,[0.14725341]
15565,[0.01910928]
15566,[0.5795964]
15567,[0.17434599]
15568,[0.3220623]
15569,[0.03091173]
15570,[0.26500508]
15571,[0.36565232]
15572,[0.5612136]
15573,[0.0175805]
15574,[0.37576333]
15575,[0.01801133]
15576,[0.02933408]
15577,[0.01807896]
15578,[0.60776746]
15579,[0.01828884]
15580,[0.1845193]
15581,[0.02911058]
15582,[0.4928381]
15583,[0.12597404]
15584,[0.01813609]
15585,[0.22110108]
15586,[0.01748417]
15587,[0.5864421]
15588,[0.17774393]
15589,[0.01872208]
15590,[0.0286885]
15591,[0.37787467]
15592,[0.01944673]
15593,[0.3424524]
15594,[0.3111366]
15595,[0.0175139]
15596,[0.02209133]
15597,[0.01778925]
15598,[0.02748303]
15599,[0.01811734]
15600,[0.03189233]
15601,[0.11214146]
15602,[0.6153605]
15603,[0.13264522]
15604,[0.01790355]
15605,[0.51001465]
15606,[0.22166847]
15607,[0.01807953]
15608,[0.3169703]
15609,[0.42457685]
15610,[0.3096876]
15611,[0.61501133]
15612,[0.01818052]
15613,[0.01831898]
15614,[0.24419306]
15615,[0.26755974]
15616,[0.1487075]
15617,[0.3791915]
15618,[0.02657123]
15619,[0.01902627]
15620,[0.01771261]
15621,[0.01724042]
15622,[0.18481497]
15623,[0.6144872]
15624,[0.01804092]
15625,[0.57609177]
15626,[0.01782746]
15627,[0.0202565]
15628,[0.02306274]
15629,[0.01789248]
15630,[0.01812071]
15631,[0.2442926]
15632,[0.02811928]
15633,[0.26462328]
15634,[0.79604477]
15635,[0.01863877]
15636,[0.02748255]
15637,[0.0278619]
15638,[0.60645366]
15639,[0.02306724]
15640,[0.19822857]
15641,[0.42193305]
15642,[0.0199541]
15643,[0.01898502]
15644,[0.22649479]
15645,[0.26067558]
15646,[0.02869571]
15647,[0.02342369]
15648,[0.19335258]
15649,[0.59624016]
15650,[0.5578238]
15651,[0.21312903]
15652,[0.02857834]
15653,[0.03239046]
15654,[0.01780155]
15655,[0.03878284]
15656,[0.0249314]
15657,[0.01844132]
15658,[0.03223331]
15659,[0.18307564]
15660,[0.02322307]
15661,[0.85797304]
15662,[0.04163203]
15663,[0.36130232]
15664,[0.02719908]
15665,[0.0175782]
15666,[0.01730249]
15667,[0.01794103]
15668,[0.25513643]
15669,[0.2265204]
15670,[0.01899716]
15671,[0.1455782]
15672,[0.01850172]
15673,[0.42972064]
15674,[0.47430488]
15675,[0.16267739]
15676,[0.39570898]
15677,[0.40272555]
15678,[0.44600084]
15679,[0.05851873]
15680,[0.02884142]
15681,[0.01741844]
15682,[0.15923221]
15683,[0.44389585]
15684,[0.23581737]
15685,[0.0185254]
15686,[0.14366916]
15687,[0.13763079]
15688,[0.02827537]
15689,[0.16159172]
15690,[0.13018815]
15691,[0.25488636]
15692,[0.44945765]
15693,[0.29895204]
15694,[0.5177144]
15695,[0.0463433]
15696,[0.01842551]
15697,[0.03508878]
15698,[0.16923906]
15699,[0.01755638]
15700,[0.59905696]
15701,[0.46847168]
15702,[0.01788621]
15703,[0.14977]
15704,[0.02453799]
15705,[0.02671462]
15706,[0.8634521]
15707,[0.01896601]
15708,[0.01775045]
15709,[0.2318654]
15710,[0.04085728]
15711,[0.2265843]
15712,[0.18584596]
15713,[0.5160465]
15714,[0.01779271]
15715,[0.06415085]
15716,[0.01776258]
15717,[0.01872657]
15718,[0.01765105]
15719,[0.0171534]
15720,[0.02185115]
15721,[0.01776771]
15722,[0.61417615]
15723,[0.030085]
15724,[0.2484743]
15725,[0.02394338]
15726,[0.6054609]
15727,[0.02334526]
15728,[0.3150799]
15729,[0.6117177]
15730,[0.4438148]
15731,[0.25207013]
15732,[0.01982782]
15733,[0.26669803]
15734,[0.49607196]
15735,[0.02756213]
15736,[0.01982864]
15737,[0.01839443]
15738,[0.02274123]
15739,[0.6175928]
15740,[0.6080483]
15741,[0.6030164]
15742,[0.17317429]
15743,[0.16032594]
15744,[0.01791663]
15745,[0.25708959]
15746,[0.01759116]
15747,[0.01932794]
15748,[0.02961136]
15749,[0.138767]
15750,[0.14491281]
15751,[0.02426385]
15752,[0.60456717]
15753,[0.62944037]
15754,[0.02857124]
15755,[0.28849995]
15756,[0.02772192]
15757,[0.21853074]
15758,[0.11523056]
15759,[0.01748083]
15760,[0.01821743]
15761,[0.16135035]
15762,[0.01721988]
15763,[0.12916948]
15764,[0.02569961]
15765,[0.01698348]
15766,[0.2578588]
15767,[0.17947975]
15768,[0.30869582]
15769,[0.03407834]
15770,[0.40540633]
15771,[0.1627826]
15772,[0.02580687]
15773,[0.09159676]
15774,[0.01737792]
15775,[0.52022517]
15776,[0.5889931]
15777,[0.46437007]
15778,[0.05792967]
15779,[0.21748096]
15780,[0.0185095]
15781,[0.24245001]
15782,[0.01682863]
15783,[0.465607]
15784,[0.25066048]
15785,[0.04532038]
15786,[0.5603302]
15787,[0.01727445]
15788,[0.44015497]
15789,[0.17786033]
15790,[0.42738968]
15791,[0.04438846]
15792,[0.45427173]
15793,[0.03516505]
15794,[0.02864268]
15795,[0.01740588]
15796,[0.34455505]
15797,[0.03053515]
15798,[0.02977509]
15799,[0.01868687]
15800,[0.4183467]
15801,[0.0239991]
15802,[0.20553151]
15803,[0.02158678]
15804,[0.01669412]
15805,[0.5625391]
15806,[0.32038495]
15807,[0.02996923]
15808,[0.0185513]
15809,[0.02475071]
15810,[0.01819795]
15811,[0.01682778]
15812,[0.03438753]
15813,[0.5350492]
15814,[0.01969914]
15815,[0.02531394]
15816,[0.40207094]
15817,[0.01903741]
15818,[0.6076199]
15819,[0.7782435]
15820,[0.60991305]
15821,[0.6011334]
15822,[0.03105821]
15823,[0.02676362]
15824,[0.6159733]
15825,[0.46991548]
15826,[0.4710628]
15827,[0.15934496]
15828,[0.10984869]
15829,[0.05070892]
15830,[0.27738082]
15831,[0.01759678]
15832,[0.01856661]
15833,[0.18728992]
15834,[0.6003585]
15835,[0.16578008]
15836,[0.6844411]
15837,[0.04006366]
15838,[0.02879083]
15839,[0.0184945]
15840,[0.1660993]
15841,[0.02750284]
15842,[0.5440227]
15843,[0.02320849]
15844,[0.35142606]
15845,[0.02350974]
15846,[0.15888667]
15847,[0.14730519]
15848,[0.03560796]
15849,[0.6188012]
15850,[0.4247256]
15851,[0.0168949]
15852,[0.25657073]
15853,[0.01807241]
15854,[0.03193045]
15855,[0.0259746]
15856,[0.61860955]
15857,[0.01798991]
15858,[0.02374157]
15859,[0.62201834]
15860,[0.2668301]
15861,[0.02251517]
15862,[0.5787654]
15863,[0.61339206]
15864,[0.02975104]
15865,[0.01856823]
15866,[0.37354705]
15867,[0.45304695]
15868,[0.17995813]
15869,[0.4058236]
15870,[0.02932462]
15871,[0.01884051]
15872,[0.01804171]
15873,[0.02583441]
15874,[0.59055823]
15875,[0.39529005]
15876,[0.02278119]
15877,[0.5670004]
15878,[0.5687603]
15879,[0.620872]
15880,[0.01866215]
15881,[0.01817546]
15882,[0.15314773]
15883,[0.44437826]
15884,[0.01814139]
15885,[0.03210149]
15886,[0.017428]
15887,[0.01913543]
15888,[0.01773268]
15889,[0.53766215]
15890,[0.02217085]
15891,[0.41439125]
15892,[0.03063828]
15893,[0.16584189]
15894,[0.03985801]
15895,[0.58763504]
15896,[0.06951629]
15897,[0.26134828]
15898,[0.59963936]
15899,[0.14524034]
15900,[0.25561348]
15901,[0.26371354]
15902,[0.6060144]
15903,[0.14844936]
15904,[0.15755762]
15905,[0.47803992]
15906,[0.02772337]
15907,[0.01898458]
15908,[0.01914151]
15909,[0.4662519]
15910,[0.02345521]
15911,[0.61117804]
15912,[0.37777328]
15913,[0.03347702]
15914,[0.01812456]
15915,[0.23906443]
15916,[0.34986433]
15917,[0.6086092]
15918,[0.01884828]
15919,[0.0188875]
15920,[0.61931694]
15921,[0.15975367]
15922,[0.01887299]
15923,[0.49157095]
15924,[0.01894577]
15925,[0.01822743]
15926,[0.35941738]
15927,[0.01862027]
15928,[0.0326038]
15929,[0.03420264]
15930,[0.02616245]
15931,[0.5417]
15932,[0.01991714]
15933,[0.38596082]
15934,[0.14690092]
15935,[0.01879316]
15936,[0.03644124]
15937,[0.03629203]
15938,[0.01875576]
15939,[0.2697338]
15940,[0.0268732]
15941,[0.5774327]
15942,[0.2946536]
15943,[0.24208906]
15944,[0.01843659]
15945,[0.41653553]
15946,[0.02241363]
15947,[0.02649538]
15948,[0.01749112]
15949,[0.02084297]
15950,[0.02587436]
15951,[0.4770059]
15952,[0.01862689]
15953,[0.27762756]
15954,[0.02390085]
15955,[0.14709705]
15956,[0.60810554]
15957,[0.6076091]
15958,[0.02983141]
15959,[0.02491694]
15960,[0.263603]
15961,[0.01906474]
15962,[0.02806796]
15963,[0.5339785]
15964,[0.3115922]
15965,[0.0205311]
15966,[0.01789994]
15967,[0.13994534]
15968,[0.36816704]
15969,[0.15605591]
15970,[0.03049769]
15971,[0.01880427]
15972,[0.0176151]
15973,[0.01781068]
15974,[0.02491127]
15975,[0.01966407]
15976,[0.02512717]
15977,[0.38050547]
15978,[0.42940575]
15979,[0.02561856]
15980,[0.01825625]
15981,[0.01846457]
15982,[0.01761338]
15983,[0.01698208]
15984,[0.137641]
15985,[0.01782766]
15986,[0.24451482]
15987,[0.36074132]
15988,[0.01975122]
15989,[0.32539105]
15990,[0.17576022]
15991,[0.01885729]
15992,[0.01848168]
15993,[0.17737299]
15994,[0.01733079]
15995,[0.02630232]
15996,[0.6178546]
15997,[0.26772738]
15998,[0.14428091]
15999,[0.01861839]
16000,[0.51579046]
16001,[0.22072892]
16002,[0.02133286]
16003,[0.0180939]
16004,[0.03711836]
16005,[0.60287386]
16006,[0.03148734]
16007,[0.09185267]
16008,[0.0290063]
16009,[0.16569597]
16010,[0.14732423]
16011,[0.18048695]
16012,[0.43802163]
16013,[0.31134817]
16014,[0.01938257]
16015,[0.02024163]
16016,[0.01877172]
16017,[0.14948088]
16018,[0.17303942]
16019,[0.5849087]
16020,[0.5715395]
16021,[0.11473984]
16022,[0.26813373]
16023,[0.25701442]
16024,[0.46648544]
16025,[0.597287]
16026,[0.5201193]
16027,[0.0239551]
16028,[0.03400572]
16029,[0.01792249]
16030,[0.02707295]
16031,[0.01784375]
16032,[0.0181897]
16033,[0.33803028]
16034,[0.50586903]
16035,[0.13897459]
16036,[0.22855434]
16037,[0.02862331]
16038,[0.14196159]
16039,[0.2744624]
16040,[0.02113899]
16041,[0.01826693]
16042,[0.03170228]
16043,[0.6003512]
16044,[0.01972456]
16045,[0.04520911]
16046,[0.03128278]
16047,[0.3759138]
16048,[0.04138338]
16049,[0.5424344]
16050,[0.4990453]
16051,[0.1608781]
16052,[0.01716435]
16053,[0.02957959]
16054,[0.01719979]
16055,[0.24486235]
16056,[0.01967813]
16057,[0.4577297]
16058,[0.03446267]
16059,[0.01817527]
16060,[0.14073148]
16061,[0.51600885]
16062,[0.01777827]
16063,[0.26766637]
16064,[0.41006377]
16065,[0.4705327]
16066,[0.02126842]
16067,[0.03227583]
16068,[0.03035111]
16069,[0.20454818]
16070,[0.3855717]
16071,[0.7882816]
16072,[0.02441515]
16073,[0.10471441]
16074,[0.01824146]
16075,[0.61434174]
16076,[0.0191993]
16077,[0.2525029]
16078,[0.2866527]
16079,[0.02263468]
16080,[0.01966604]
16081,[0.02757763]
16082,[0.6095326]
16083,[0.02943067]
16084,[0.01873497]
16085,[0.01798851]
16086,[0.60295886]
16087,[0.01745894]
16088,[0.01836259]
16089,[0.55882096]
16090,[0.02245052]
16091,[0.01923641]
16092,[0.0278014]
16093,[0.5799088]
16094,[0.0293723]
16095,[0.4369751]
16096,[0.3504775]
16097,[0.01765132]
16098,[0.28487554]
16099,[0.42745727]
16100,[0.16600186]
16101,[0.01856049]
16102,[0.597589]
16103,[0.01783706]
16104,[0.6121069]
16105,[0.19927703]
16106,[0.01814765]
16107,[0.27667406]
16108,[0.15889527]
16109,[0.26687664]
16110,[0.0177347]
16111,[0.02901318]
16112,[0.01738846]
16113,[0.03405265]
16114,[0.02987273]
16115,[0.03564939]
16116,[0.23996155]
16117,[0.70852304]
16118,[0.8673381]
16119,[0.6053553]
16120,[0.0182643]
16121,[0.20779325]
16122,[0.24684514]
16123,[0.01837284]
16124,[0.3547673]
16125,[0.02627619]
16126,[0.2212975]
16127,[0.6232455]
16128,[0.02812039]
16129,[0.8618975]
16130,[0.26556054]
16131,[0.62289345]
16132,[0.4767914]
16133,[0.13696179]
16134,[0.03111764]
16135,[0.61308175]
16136,[0.7954204]
16137,[0.5293486]
16138,[0.0186352]
16139,[0.01761472]
16140,[0.5852084]
16141,[0.60580575]
16142,[0.01909518]
16143,[0.02334986]
16144,[0.19405687]
16145,[0.02710564]
16146,[0.45852068]
16147,[0.12889503]
16148,[0.60975695]
16149,[0.01754147]
16150,[0.6174893]
16151,[0.01915837]
16152,[0.22562507]
16153,[0.0191436]
16154,[0.01922035]
16155,[0.01749516]
16156,[0.01831271]
16157,[0.6090481]
16158,[0.01874083]
16159,[0.0210196]
16160,[0.03199857]
16161,[0.02627657]
16162,[0.01757484]
16163,[0.16483256]
16164,[0.02110479]
16165,[0.02215845]
16166,[0.02582864]
16167,[0.0237301]
16168,[0.42675263]
16169,[0.3431529]
16170,[0.02431022]
16171,[0.01875664]
16172,[0.01689943]
16173,[0.3482072]
16174,[0.02113272]
16175,[0.02789092]
16176,[0.0258222]
16177,[0.21791454]
16178,[0.1673079]
16179,[0.027895]
16180,[0.24163555]
16181,[0.01843364]
16182,[0.2368541]
16183,[0.03349939]
16184,[0.35446543]
16185,[0.17507364]
16186,[0.15244429]
16187,[0.26562]
16188,[0.01813768]
16189,[0.41739142]
16190,[0.22614826]
16191,[0.30939138]
16192,[0.01802626]
16193,[0.2040448]
16194,[0.60715616]
16195,[0.17308609]
16196,[0.01661291]
16197,[0.4519673]
16198,[0.02719183]
16199,[0.03122143]
16200,[0.02308594]
16201,[0.6285527]
16202,[0.19806813]
16203,[0.20410101]
16204,[0.46670437]
16205,[0.60330987]
16206,[0.6151165]
16207,[0.01978133]
16208,[0.26558816]
16209,[0.5514748]
16210,[0.23353772]
16211,[0.4595456]
16212,[0.59629893]
16213,[0.01750556]
16214,[0.01858507]
16215,[0.6150139]
16216,[0.01782117]
16217,[0.02392014]
16218,[0.0221443]
16219,[0.36625433]
16220,[0.26577207]
16221,[0.60305595]
16222,[0.15479755]
16223,[0.18831418]
16224,[0.01842502]
16225,[0.02710007]
16226,[0.01953836]
16227,[0.02547765]
16228,[0.01862939]
16229,[0.59165704]
16230,[0.44185868]
16231,[0.08952601]
16232,[0.15776956]
16233,[0.02368803]
16234,[0.59411]
16235,[0.5099194]
16236,[0.02479024]
16237,[0.14044112]
16238,[0.0242182]
16239,[0.02769357]
16240,[0.01835]
16241,[0.01955674]
16242,[0.03010986]
16243,[0.01814032]
16244,[0.01744826]
16245,[0.02642154]
16246,[0.31613785]
16247,[0.4680953]
16248,[0.5908431]
16249,[0.5795529]
16250,[0.01814927]
16251,[0.028876]
16252,[0.01739787]
16253,[0.6041845]
16254,[0.24782825]
16255,[0.48726296]
16256,[0.6953627]
16257,[0.12803812]
16258,[0.61376727]
16259,[0.02328951]
16260,[0.0306854]
16261,[0.14016068]
16262,[0.02655036]
16263,[0.02361474]
16264,[0.01787094]
16265,[0.17094919]
16266,[0.6170118]
16267,[0.6153676]
16268,[0.01730449]
16269,[0.01913723]
16270,[0.01908806]
16271,[0.60005015]
16272,[0.1549927]
16273,[0.01853455]
